,date,cust_1,cust_2,cust_3,cust_4,cust_5,cust_6,cust_7,cust_8,cust_9,cust_10,cust_11,cust_12,cust_13,cust_14,cust_15
0,2013-01-01,13,12,19,10,11,20,7,16,11,14,33,41,43,30,26
1,2013-01-02,11,16,8,12,9,6,4,10,9,14,43,33,27,28,22
2,2013-01-03,14,16,10,8,12,11,8,12,20,16,23,46,38,37,26
3,2013-01-04,13,20,15,15,8,7,7,21,22,17,18,50,35,44,23
4,2013-01-05,10,16,22,19,13,12,8,15,22,12,34,44,47,36,22
5,2013-01-06,12,18,22,14,15,9,10,27,11,11,38,57,49,49,28
6,2013-01-07,10,12,7,12,6,11,6,9,7,12,27,27,38,26,11
7,2013-01-08,9,11,15,16,11,9,6,10,13,19,28,43,26,29,28
8,2013-01-09,12,16,9,18,13,13,3,11,9,10,34,38,39,26,22
9,2013-01-10,9,10,7,16,9,9,7,14,5,17,27,49,32,31,32
10,2013-01-11,9,15,19,14,9,11,8,14,20,20,28,53,45,34,24
11,2013-01-12,7,22,16,10,8,13,9,12,11,18,39,47,46,45,29
12,2013-01-13,10,30,14,21,22,12,8,16,16,21,28,58,35,46,32
13,2013-01-14,12,14,9,9,8,6,7,11,6,10,30,26,35,27,9
14,2013-01-15,5,17,14,7,10,11,13,15,16,13,27,40,37,34,27
15,2013-01-16,7,14,13,8,9,8,8,18,20,11,19,43,34,27,21
16,2013-01-17,16,14,18,10,8,6,9,14,12,15,29,38,45,48,30
17,2013-01-18,7,12,19,15,9,15,5,13,10,17,29,46,49,45,33
18,2013-01-19,18,18,19,16,6,9,8,13,14,18,44,50,39,43,30
19,2013-01-20,15,24,18,19,6,7,13,15,17,19,34,49,41,47,31
20,2013-01-21,8,13,14,8,6,7,7,10,11,10,15,36,32,25,11
21,2013-01-22,7,11,13,10,8,3,4,18,15,7,29,43,30,44,29
22,2013-01-23,9,19,17,8,11,6,11,18,7,20,21,35,29,31,19
23,2013-01-24,8,14,12,12,8,7,8,10,11,12,33,41,41,34,23
24,2013-01-25,14,17,19,10,7,9,6,8,15,21,29,50,42,31,35
25,2013-01-26,12,14,14,12,7,7,15,14,16,13,33,38,48,34,39
26,2013-01-27,12,12,13,15,11,11,12,22,11,12,32,50,51,40,21
27,2013-01-28,11,15,5,10,8,9,12,10,19,12,16,35,31,13,20
28,2013-01-29,6,18,20,12,12,6,9,15,17,14,35,41,35,35,20
29,2013-01-30,9,10,16,14,8,6,8,8,12,17,29,45,37,18,25
30,2013-01-31,13,16,17,8,6,11,10,12,19,5,27,42,39,35,26
31,2013-02-01,11,16,21,19,6,14,12,14,14,21,30,36,35,44,33
32,2013-02-02,21,23,21,17,20,8,12,20,15,11,26,47,45,43,31
33,2013-02-03,15,14,18,19,13,12,13,22,27,20,39,48,45,57,36
34,2013-02-04,14,18,10,17,12,7,10,16,11,11,30,31,32,32,13
35,2013-02-05,9,16,17,11,10,9,10,11,18,10,34,41,40,36,25
36,2013-02-06,10,12,15,18,12,7,6,10,8,15,22,36,38,27,25
37,2013-02-07,13,19,10,15,13,8,11,22,13,16,42,48,45,47,19
38,2013-02-08,11,13,8,18,13,14,10,15,20,8,27,40,59,52,41
39,2013-02-09,14,15,20,17,12,12,14,20,13,17,28,61,49,42,33
40,2013-02-10,11,21,6,16,10,12,17,20,19,19,34,49,46,50,33
41,2013-02-11,16,11,13,7,10,9,3,16,13,13,25,38,31,28,27
42,2013-02-12,11,14,14,13,10,6,13,18,12,16,39,46,38,30,32
43,2013-02-13,14,19,12,16,14,12,8,11,12,15,17,48,47,38,17
44,2013-02-14,10,14,12,13,9,16,10,13,12,14,35,46,49,52,35
45,2013-02-15,11,17,14,13,9,6,5,19,15,11,34,52,51,34,26
46,2013-02-16,7,25,15,13,10,10,16,17,25,16,39,49,58,40,39
47,2013-02-17,11,26,20,16,10,19,16,22,18,21,46,53,45,63,39
48,2013-02-18,10,13,10,16,5,2,11,11,10,19,31,35,25,32,24
49,2013-02-19,10,22,4,12,4,8,11,9,8,16,30,46,37,38,24
50,2013-02-20,7,21,12,9,10,10,11,15,16,18,24,50,41,29,28
51,2013-02-21,13,9,19,10,4,17,11,15,19,19,31,49,45,48,32
52,2013-02-22,12,21,17,11,10,14,11,19,9,18,40,46,48,36,31
53,2013-02-23,15,15,20,10,11,16,13,19,18,21,37,53,34,50,37
54,2013-02-24,11,20,24,8,11,20,21,22,18,30,33,57,44,43,36
55,2013-02-25,7,17,17,16,8,10,7,9,5,15,13,33,30,32,21
56,2013-02-26,9,16,13,18,15,6,7,18,13,17,33,38,39,40,23
57,2013-02-27,9,11,17,20,7,7,7,19,16,16,19,48,29,27,32
58,2013-02-28,10,22,22,16,14,15,9,16,9,26,35,38,45,44,31
59,2013-03-01,15,27,15,14,7,14,11,15,17,29,42,57,43,44,28
60,2013-03-02,13,23,19,18,20,18,19,31,25,17,49,62,46,48,37
61,2013-03-03,20,29,21,14,11,18,12,28,20,25,49,70,54,51,30
62,2013-03-04,14,25,17,18,11,12,10,18,15,16,33,38,40,39,25
63,2013-03-05,13,13,22,13,11,11,13,19,17,18,42,51,50,35,32
64,2013-03-06,17,21,19,16,18,17,15,14,19,14,43,58,52,38,27
65,2013-03-07,11,19,19,28,12,7,16,19,14,24,48,65,43,47,41
66,2013-03-08,15,20,26,19,13,9,7,19,15,23,43,50,61,45,37
67,2013-03-09,16,31,19,19,8,19,17,17,15,15,43,59,48,50,40
68,2013-03-10,11,32,21,17,12,16,14,28,16,28,43,62,75,45,44
